codepoints,emoji-name,keywords
🍘,cracker | rice,rice cracker
🍙,ball | Japanese | rice,rice ball
🍚,cooked | rice,cooked rice
🍛,curry | rice,curry rice
🍜,bowl | noodle | ramen | steaming,steaming bowl
🍝,pasta | spaghetti,spaghetti
🍠,potato | roasted | sweet,roasted sweet potato
🍢,kebab | oden | seafood | skewer | stick,oden
🍣,sushi,sushi
🍤,fried | prawn | shrimp | tempura,fried shrimp
🍥,cake | fish | fish cake with swirl | pastry | swirl,fish cake with swirl
🍡,dango | dessert | Japanese | skewer | stick | sweet,dango
🥟,dumpling | empanada | gyōza | jiaozi | pierogi | potsticker,dumpling
🥠,fortune cookie | prophecy,fortune cookie
🥡,oyster pail | takeout box,takeout box
🍦,cream | dessert | ice | icecream | soft | sweet,soft ice cream
🍧,dessert | ice | shaved | sweet,shaved ice
🍨,cream | dessert | ice | sweet,ice cream
🍩,dessert | donut | doughnut | sweet,doughnut
🍪,cookie | dessert | sweet,cookie
🎂,birthday | cake | celebration | dessert | pastry | sweet,birthday cake
🍰,cake | dessert | pastry | shortcake | slice | sweet,shortcake
🥧,filling | pastry | pie,pie
🍫,bar | chocolate | dessert | sweet,chocolate bar
🍬,candy | dessert | sweet,candy
🍭,candy | dessert | lollipop | sweet,lollipop
🍮,custard | dessert | pudding | sweet,custard
🍯,honey | honeypot | pot | sweet,honey pot
🍼,baby | bottle | drink | milk,baby bottle
🥛,drink | glass | glass of milk | milk,glass of milk
☕,beverage | coffee | drink | hot | steaming | tea,hot beverage
🍵,beverage | cup | drink | tea | teacup | teacup without handle,teacup without handle
🍶,bar | beverage | bottle | cup | drink | sake,sake
🍾,bar | bottle | bottle with popping cork | cork | drink | popping,bottle with popping cork
🍷,bar | beverage | drink | glass | wine,wine glass
🍸,bar | cocktail | drink | glass,cocktail glass
🍹,bar | drink | tropical,tropical drink
🍺,bar | beer | drink | mug,beer mug
🍻,bar | beer | clink | clinking beer mugs | drink | mug,clinking beer mugs
🥂,celebrate | clink | clinking glasses | drink | glass,clinking glasses
🥃,glass | liquor | shot | tumbler | whisky,tumbler glass
🥤,cup with straw | juice | soda,cup with straw
🥢,chopsticks | hashi,chopsticks
🍽,cooking | fork | fork and knife with plate | knife | plate,fork and knife with plate
🍴,cooking | cutlery | fork | fork and knife | knife,fork and knife
🥄,spoon | tableware,spoon
🔪,cooking | hocho | kitchen knife | knife | tool | weapon,kitchen knife
🏺,amphora | Aquarius | cooking | drink | jug | tool | weapon | zodiac,amphora
🌍,Africa | earth | Europe | globe | globe showing Europe-Africa | world,globe showing Europe-Africa
🌎,Americas | earth | globe | globe showing Americas | world,globe showing Americas
🌏,Asia | Australia | earth | globe | globe showing Asia-Australia | world,globe showing Asia-Australia
🌐,earth | globe | globe with meridians | meridians | world,globe with meridians
🗺,map | world,world map
🗾,Japan | map | map of Japan,map of Japan
🏔,cold | mountain | snow | snow-capped mountain,snow-capped mountain
⛰,mountain,mountain
🌋,eruption | mountain | volcano,volcano
🗻,fuji | mount fuji | mountain,mount fuji
🏕,camping,camping
🏖,beach | beach with umbrella | umbrella,beach with umbrella
🏜,desert,desert
🏝,desert | island,desert island
🏞,national park | park,national park
🏟,stadium,stadium
🏛,classical | classical building,classical building
🏗,building construction | construction,building construction
🏘,houses,houses
🏚,derelict | house,derelict house
🏠,home | house,house
🏡,garden | home | house | house with garden,house with garden
🏢,building | office building,office building
🏣,Japanese | Japanese post office | post,Japanese post office
🏤,European | post | post office,post office
🏥,doctor | hospital | medicine,hospital
🏦,bank | building,bank
🏨,building | hotel,hotel
🏩,hotel | love,love hotel
🏪,convenience | store,convenience store
🏫,building | school,school
🏬,department | store,department store
🏭,building | factory,factory
🏯,castle | Japanese,Japanese castle
🏰,castle | European,castle
💒,chapel | romance | wedding,wedding
🗼,Tokyo | tower,Tokyo tower
🗽,liberty | statue | Statue of Liberty,Statue of Liberty
⛪,Christian | church | cross | religion,church
🕌,islam | mosque | Muslim | religion,mosque
🕍,Jew | Jewish | religion | synagogue | temple,synagogue
⛩,religion | shinto | shrine,shinto shrine
🕋,islam | kaaba | Muslim | religion,kaaba
⛲,fountain,fountain
⛺,camping | tent,tent
🌁,fog | foggy,foggy
🌃,night | night with stars | star,night with stars
🏙,city | cityscape,cityscape
🌄,morning | mountain | sun | sunrise | sunrise over mountains,sunrise over mountains
🌅,morning | sun | sunrise,sunrise
🌆,city | cityscape at dusk | dusk | evening | landscape | sun | sunset,cityscape at dusk
🌇,dusk | sun | sunset,sunset
🌉,bridge | bridge at night | night,bridge at night
♨,hot | hotsprings | springs | steaming,hot springs
🌌,milky way | space,milky way
🎠,carousel | horse,carousel horse
🎡,amusement park | ferris | wheel,ferris wheel
🎢,amusement park | coaster | roller,roller coaster
💈,barber | haircut | pole,barber pole
🎪,circus | tent,circus tent
🚂,engine | locomotive | railway | steam | train,locomotive
🚃,car | electric | railway | train | tram | trolleybus,railway car
🚄,high-speed train | railway | shinkansen | speed | train,high-speed train
🚅,bullet | railway | shinkansen | speed | train,bullet train
🚆,railway | train,train
🚇,metro | subway,metro
🚈,light rail | railway,light rail
🚉,railway | station | train,station
🚊,tram | trolleybus,tram
🚝,monorail | vehicle,monorail
🚞,car | mountain | railway,mountain railway
🚋,car | tram | trolleybus,tram car
🚌,bus | vehicle,bus
🚍,bus | oncoming,oncoming bus
🚎,bus | tram | trolley | trolleybus,trolleybus
🚐,bus | minibus,minibus
🚑,ambulance | vehicle,ambulance
🚒,engine | fire | truck,fire engine
🚓,car | patrol | police,police car
🚔,car | oncoming | police,oncoming police car
🚕,taxi | vehicle,taxi
🚖,oncoming | taxi,oncoming taxi
🚗,automobile | car,automobile
🚘,automobile | car | oncoming,oncoming automobile
🚙,recreational | sport utility | sport utility vehicle,sport utility vehicle
🚚,delivery | truck,delivery truck
🚛,articulated lorry | lorry | semi | truck,articulated lorry
🚜,tractor | vehicle,tractor
🚲,bicycle | bike,bicycle
🛴,kick | scooter,kick scooter
🛵,motor | scooter,motor scooter
🚏,bus | busstop | stop,bus stop
🛣,highway | motorway | road,motorway
🛤,railway | railway track | train,railway track
🛢,drum | oil,oil drum
⛽,diesel | fuel | fuelpump | gas | pump | station,fuel pump
🚨,beacon | car | light | police | revolving,police car light
🚥,horizontal traffic light | light | signal | traffic,horizontal traffic light
🚦,light | signal | traffic | vertical traffic light,vertical traffic light
🛑,octagonal | sign | stop,stop sign
🚧,barrier | construction,construction
⚓,anchor | ship | tool,anchor
⛵,boat | resort | sailboat | sea | yacht,sailboat
🛶,boat | canoe,canoe
🚤,boat | speedboat,speedboat
🛳,passenger | ship,passenger ship
⛴,boat | ferry | passenger,ferry
🛥,boat | motor boat | motorboat,motor boat
🚢,boat | passenger | ship,ship
✈,aeroplane | airplane,airplane
🛩,aeroplane | airplane | small airplane,small airplane
🛫,aeroplane | airplane | check-in | departure | departures,airplane departure
🛬,aeroplane | airplane | airplane arrival | arrivals | arriving | landing,airplane arrival
💺,chair | seat,seat
🚁,helicopter | vehicle,helicopter
🚟,railway | suspension,suspension railway
🚠,cable | gondola | mountain | mountain cableway,mountain cableway
🚡,aerial | cable | car | gondola | tramway,aerial tramway
🛰,satellite | space,satellite
🚀,rocket | space,rocket
🛸,flying saucer | UFO,flying saucer
🛎,bell | bellhop | hotel,bellhop bell
⌛,hourglass done | sand | timer,hourglass done
⏳,hourglass | hourglass not done | sand | timer,hourglass not done
⌚,clock | watch,watch
⏰,alarm | clock,alarm clock
⏱,clock | stopwatch,stopwatch
⏲,clock | timer,timer clock
🕰,clock | mantelpiece clock,mantelpiece clock
🕛,00 | 12 | 12:00 | clock | o’clock | twelve,twelve o’clock
🕧,12 | 12:30 | 30 | clock | thirty | twelve | twelve-thirty,twelve-thirty
🕐,00 | 1 | 1:00 | clock | o’clock | one,one o’clock
🕜,1 | 1:30 | 30 | clock | one | one-thirty | thirty,one-thirty
🕑,00 | 2 | 2:00 | clock | o’clock | two,two o’clock
🕝,2 | 2:30 | 30 | clock | thirty | two | two-thirty,two-thirty
🕒,00 | 3 | 3:00 | clock | o’clock | three,three o’clock
🕞,3 | 3:30 | 30 | clock | thirty | three | three-thirty,three-thirty
🕓,00 | 4 | 4:00 | clock | four | o’clock,four o’clock
🕟,30 | 4 | 4:30 | clock | four | four-thirty | thirty,four-thirty
🕔,00 | 5 | 5:00 | clock | five | o’clock,five o’clock
🕠,30 | 5 | 5:30 | clock | five | five-thirty | thirty,five-thirty
🕕,00 | 6 | 6:00 | clock | o’clock | six,six o’clock
🕡,30 | 6 | 6:30 | clock | six | six-thirty | thirty,six-thirty
🕖,00 | 7 | 7:00 | clock | o’clock | seven,seven o’clock
🕢,30 | 7 | 7:30 | clock | seven | seven-thirty | thirty,seven-thirty
🕗,00 | 8 | 8:00 | clock | eight | o’clock,eight o’clock
🕣,30 | 8 | 8:30 | clock | eight | eight-thirty | thirty,eight-thirty
🕘,00 | 9 | 9:00 | clock | nine | o’clock,nine o’clock
🕤,30 | 9 | 9:30 | clock | nine | nine-thirty | thirty,nine-thirty
🕙,00 | 10 | 10:00 | clock | o’clock | ten,ten o’clock
🕥,10 | 10:30 | 30 | clock | ten | ten-thirty | thirty,ten-thirty
🕚,00 | 11 | 11:00 | clock | eleven | o’clock,eleven o’clock
🕦,11 | 11:30 | 30 | clock | eleven | eleven-thirty | thirty,eleven-thirty
🌑,dark | moon | new moon,new moon
🌒,crescent | moon | waxing,waxing crescent moon
🌓,first quarter moon | moon | quarter,first quarter moon
🌔,gibbous | moon | waxing,waxing gibbous moon
🌕,full | moon,full moon
🌖,gibbous | moon | waning,waning gibbous moon
🌗,last quarter moon | moon | quarter,last quarter moon
🌘,crescent | moon | waning,waning crescent moon
🌙,crescent | moon,crescent moon
🌚,face | moon | new moon face,new moon face
🌛,face | first quarter moon face | moon | quarter,first quarter moon face
🌜,face | last quarter moon face | moon | quarter,last quarter moon face
🌡,thermometer | weather,thermometer
☀,bright | rays | sun | sunny,sun
🌝,bright | face | full | moon,full moon face
🌞,bright | face | sun | sun with face,sun with face
⭐,star,star
🌟,glittery | glow | glowing star | shining | sparkle | star,glowing star
🌠,falling | shooting | star,shooting star
☁,cloud | weather,cloud
⛅,cloud | sun | sun behind cloud,sun behind cloud
⛈,cloud | cloud with lightning and rain | rain | thunder,cloud with lightning and rain
🌤,cloud | sun | sun behind small cloud,sun behind small cloud
🌥,cloud | sun | sun behind large cloud,sun behind large cloud
🌦,cloud | rain | sun | sun behind rain cloud,sun behind rain cloud
🌧,cloud | cloud with rain | rain,cloud with rain
🌨,cloud | cloud with snow | cold | snow,cloud with snow
🌩,cloud | cloud with lightning | lightning,cloud with lightning
🌪,cloud | tornado | whirlwind,tornado
🌫,cloud | fog,fog
🌬,blow | cloud | face | wind,wind face
🌀,cyclone | dizzy | hurricane | twister | typhoon,cyclone
🌈,rain | rainbow,rainbow
🌂,closed umbrella | clothing | rain | umbrella,closed umbrella
☂,clothing | rain | umbrella,umbrella
☔,clothing | drop | rain | umbrella | umbrella with rain drops,umbrella with rain drops
⛱,rain | sun | umbrella | umbrella on ground,umbrella on ground
⚡,danger | electric | electricity | high voltage | lightning | voltage | zap,high voltage
❄,cold | snow | snowflake,snowflake
☃,cold | snow | snowman,snowman
⛄,cold | snow | snowman | snowman without snow,snowman without snow
☄,comet | space,comet
🔥,fire | flame | tool,fire
💧,cold | comic | drop | droplet | sweat,droplet
🌊,ocean | water | wave,water wave
🎃,celebration | halloween | jack | jack-o-lantern | lantern,jack-o-lantern
🎄,celebration | Christmas | tree,Christmas tree
🎆,celebration | fireworks,fireworks
🎇,celebration | fireworks | sparkle | sparkler,sparkler
✨,sparkle | sparkles | star,sparkles
🎈,balloon | celebration,balloon
🎉,celebration | party | popper | tada,party popper
🎊,ball | celebration | confetti,confetti ball
🎋,banner | celebration | Japanese | tanabata tree | tree,tanabata tree
🎍,bamboo | celebration | Japanese | pine | pine decoration,pine decoration
🎎,celebration | doll | festival | Japanese | Japanese dolls,Japanese dolls
🎏,carp | celebration | streamer,carp streamer
🎐,bell | celebration | chime | wind,wind chime
🎑,celebration | ceremony | moon | moon viewing ceremony,moon viewing ceremony
🎀,celebration | ribbon,ribbon
🎁,box | celebration | gift | present | wrapped,wrapped gift
🎗,celebration | reminder | ribbon,reminder ribbon
🎟,admission | admission tickets | ticket,admission tickets
🎫,admission | ticket,ticket
🎖,celebration | medal | military,military medal
🏆,prize | trophy,trophy
🏅,medal | sports medal,sports medal
🥇,1st place medal | first | gold | medal,1st place medal
🥈,2nd place medal | medal | second | silver,2nd place medal
🥉,3rd place medal | bronze | medal | third,3rd place medal
⚽,ball | football | soccer,soccer ball
⚾,ball | baseball,baseball
🏀,ball | basketball | hoop,basketball
🏐,ball | game | volleyball,volleyball
🏈,american | ball | football,american football
🏉,ball | football | rugby,rugby football
🎾,ball | racquet | tennis,tennis
🎳,ball | bowling | game,bowling
🏏,ball | bat | cricket game | game,cricket game
🏑,ball | field | game | hockey | stick,field hockey
🏒,game | hockey | ice | puck | stick,ice hockey
🏓,ball | bat | game | paddle | ping pong | table tennis,ping pong
🏸,badminton | birdie | game | racquet | shuttlecock,badminton
🥊,boxing | glove,boxing glove
🥋,judo | karate | martial arts | martial arts uniform | taekwondo | uniform,martial arts uniform
🥅,goal | net,goal net
⛳,flag in hole | golf | hole,flag in hole
⛸,ice | skate,ice skate
🎣,fish | fishing pole | pole,fishing pole
🎽,athletics | running | sash | shirt,running shirt
🎿,ski | skis | snow,skis
🛷,sled | sledge | sleigh,sled
🥌,curling stone | game | rock,curling stone
🎯,bull | bullseye | dart | direct hit | eye | game | hit | target,direct hit
🎱,8 | ball | billiard | eight | game | pool 8 ball,pool 8 ball
🔮,ball | crystal | fairy tale | fantasy | fortune | tool,crystal ball
🎮,controller | game | video game,video game
🕹,game | joystick | video game,joystick
🎰,game | slot | slot machine,slot machine
🎲,dice | die | game,game die
♠,card | game | spade suit,spade suit
♥,card | game | heart suit,heart suit
♦,card | diamond suit | game,diamond suit
♣,card | club suit | game,club suit
🃏,card | game | joker | wildcard,joker
🀄,game | mahjong | mahjong red dragon | red,mahjong red dragon
🎴,card | flower | flower playing cards | game | Japanese | playing,flower playing cards
🎭,art | mask | performing | performing arts | theater | theatre,performing arts
🖼,art | frame | framed picture | museum | painting | picture,framed picture
🎨,art | artist palette | museum | painting | palette,artist palette
🔇,mute | muted speaker | quiet | silent | speaker,muted speaker
🔈,soft | speaker low volume,speaker low volume
🔉,medium | speaker medium volume,speaker medium volume
🔊,loud | speaker high volume,speaker high volume
📢,loud | loudspeaker | public address,loudspeaker
📣,cheering | megaphone,megaphone
📯,horn | post | postal,postal horn
🔔,bell,bell
🔕,bell | bell with slash | forbidden | mute | no | not | prohibited | quiet | silent,bell with slash
🎼,music | musical score | score,musical score
🎵,music | musical note | note,musical note
🎶,music | musical notes | note | notes,musical notes
🎙,mic | microphone | music | studio,studio microphone
🎚,level | music | slider,level slider
🎛,control | knobs | music,control knobs
🎤,karaoke | mic | microphone,microphone
🎧,earbud | headphone,headphone
📻,radio | video,radio
🎷,instrument | music | sax | saxophone,saxophone
🎸,guitar | instrument | music,guitar
🎹,instrument | keyboard | music | musical keyboard | piano,musical keyboard
🎺,instrument | music | trumpet,trumpet
🎻,instrument | music | violin,violin
🥁,drum | drumsticks | music,drum
📱,cell | mobile | phone | telephone,mobile phone
📲,arrow | call | cell | mobile | mobile phone with arrow | phone | receive | telephone,mobile phone with arrow
☎,phone | telephone,telephone
📞,phone | receiver | telephone,telephone receiver
📟,pager,pager
📠,fax | fax machine,fax machine
🔋,battery,battery
🔌,electric | electricity | plug,electric plug
💻,computer | laptop computer | pc | personal,laptop computer
🖥,computer | desktop,desktop computer
🖨,computer | printer,printer
⌨,computer | keyboard,keyboard
🖱,computer | computer mouse,computer mouse
🖲,computer | trackball,trackball
💽,computer | disk | minidisk | optical,computer disk
💾,computer | disk | floppy,floppy disk
💿,cd | computer | disk | optical,optical disk
📀,blu-ray | computer | disk | dvd | optical,dvd
🎥,camera | cinema | movie,movie camera
🎞,cinema | film | frames | movie,film frames
📽,cinema | film | movie | projector | video,film projector
🎬,clapper | clapper board | movie,clapper board
📺,television | tv | video,television
📷,camera | video,camera
📸,camera | camera with flash | flash | video,camera with flash
📹,camera | video,video camera
📼,tape | vhs | video | videocassette,videocassette
🔍,glass | magnifying | magnifying glass tilted left | search | tool,magnifying glass tilted left
🔎,glass | magnifying | magnifying glass tilted right | search | tool,magnifying glass tilted right
🕯,candle | light,candle
💡,bulb | comic | electric | idea | light,light bulb
🔦,electric | flashlight | light | tool | torch,flashlight
🏮,bar | lantern | light | red | red paper lantern,red paper lantern
📔,book | cover | decorated | notebook | notebook with decorative cover,notebook with decorative cover
📕,book | closed,closed book
📖,book | open,open book
📗,book | green,green book
📘,blue | book,blue book
📙,book | orange,orange book
📚,book | books,books
📓,notebook,notebook
📒,ledger | notebook,ledger
📃,curl | document | page | page with curl,page with curl
📜,paper | scroll,scroll
📄,document | page | page facing up,page facing up
📰,news | newspaper | paper,newspaper
🗞,news | newspaper | paper | rolled | rolled-up newspaper,rolled-up newspaper
📑,bookmark | mark | marker | tabs,bookmark tabs
🔖,bookmark | mark,bookmark
🏷,label,label
💰,bag | dollar | money | moneybag,money bag
💴,bank | banknote | bill | currency | money | note | yen,yen banknote
💵,bank | banknote | bill | currency | dollar | money | note,dollar banknote
💶,bank | banknote | bill | currency | euro | money | note,euro banknote
💷,bank | banknote | bill | currency | money | note | pound,pound banknote
💸,bank | banknote | bill | dollar | fly | money | money with wings | note | wings,money with wings
💳,bank | card | credit | money,credit card
💹,bank | chart | chart increasing with yen | currency | graph | growth | market | money | rise | trend | upward | yen,chart increasing with yen
💱,bank | currency | exchange | money,currency exchange
💲,currency | dollar | heavy dollar sign | money,heavy dollar sign
✉,email | envelope | letter,envelope
📧,e-mail | email | letter | mail,e-mail
📨,e-mail | email | envelope | incoming | letter | mail | receive,incoming envelope
📩,arrow | down | e-mail | email | envelope | envelope with arrow | letter | mail | outgoing | sent,envelope with arrow
📤,box | letter | mail | outbox | sent | tray,outbox tray
📥,box | inbox | letter | mail | receive | tray,inbox tray
📦,box | package | parcel,package
📫,closed | closed mailbox with raised flag | mail | mailbox | postbox,closed mailbox with raised flag
📪,closed | closed mailbox with lowered flag | lowered | mail | mailbox | postbox,closed mailbox with lowered flag
📬,mail | mailbox | open | open mailbox with raised flag | postbox,open mailbox with raised flag
📭,lowered | mail | mailbox | open | open mailbox with lowered flag | postbox,open mailbox with lowered flag
📮,mail | mailbox | postbox,postbox
🗳,ballot | ballot box with ballot | box,ballot box with ballot
✏,pencil,pencil
✒,black nib | nib | pen,black nib
🖋,fountain | pen,fountain pen
🖊,ballpoint | pen,pen
🖌,paintbrush | painting,paintbrush
🖍,crayon,crayon
📝,memo | pencil,memo
💼,briefcase,briefcase
📁,file | folder,file folder
📂,file | folder | open,open file folder
🗂,card | dividers | index,card index dividers
📅,calendar | date,calendar
📆,calendar | tear-off calendar,tear-off calendar
🗒,note | pad | spiral | spiral notepad,spiral notepad
🗓,calendar | pad | spiral,spiral calendar
📇,card | index | rolodex,card index
📈,chart | chart increasing | graph | growth | trend | upward,chart increasing
📉,chart | chart decreasing | down | graph | trend,chart decreasing
📊,bar | chart | graph,bar chart
📋,clipboard,clipboard
📌,pin | pushpin,pushpin
📍,pin | pushpin | round pushpin,round pushpin
📎,paperclip,paperclip
🖇,link | linked paperclips | paperclip,linked paperclips
📏,ruler | straight edge | straight ruler,straight ruler
📐,ruler | set | triangle | triangular ruler,triangular ruler
✂,cutting | scissors | tool,scissors
🗃,box | card | file,card file box
🗄,cabinet | file | filing,file cabinet
🗑,wastebasket,wastebasket
🔒,closed | locked,locked
🔓,lock | open | unlock | unlocked,unlocked
🔏,ink | lock | locked with pen | nib | pen | privacy,locked with pen
🔐,closed | key | lock | locked with key | secure,locked with key
🔑,key | lock | password,key
🗝,clue | key | lock | old,old key
🔨,hammer | tool,hammer
⛏,mining | pick | tool,pick
⚒,hammer | hammer and pick | pick | tool,hammer and pick
🛠,hammer | hammer and wrench | spanner | tool | wrench,hammer and wrench
🗡,dagger | knife | weapon,dagger
⚔,crossed | swords | weapon,crossed swords
🔫,gun | handgun | pistol | revolver | tool | weapon,pistol
🏹,archer | archery | arrow | bow | bow and arrow | Sagittarius | tool | weapon | zodiac,bow and arrow
🛡,shield | weapon,shield
🔧,spanner | tool | wrench,wrench
🔩,bolt | nut | nut and bolt | tool,nut and bolt
⚙,cog | cogwheel | gear | tool,gear
🗜,clamp | compress | tool | vice,clamp
⚖,balance | balance scale | justice | Libra | scales | tool | weight | zodiac,balance scale
🔗,link,link
⛓,chain | chains,chains
⚗,alembic | chemistry | tool,alembic
🔬,microscope | science | tool,microscope
🔭,science | telescope | tool,telescope
📡,antenna | dish | satellite,satellite antenna
💉,doctor | medicine | needle | shot | sick | syringe | tool,syringe
💊,doctor | medicine | pill | sick,pill
🚪,door,door
🛏,bed | hotel | sleep,bed
🛋,couch | couch and lamp | hotel | lamp,couch and lamp
🚽,toilet,toilet
🚿,shower | water,shower
🛁,bath | bathtub,bathtub
🛒,cart | shopping | trolley,shopping cart
🚬,cigarette | smoking,cigarette
⚰,coffin | death,coffin
⚱,ashes | death | funeral | urn,funeral urn
🗿,face | moai | moyai | statue,moai
🏧,atm | ATM sign | automated | bank | teller,ATM sign
🚮,litter | litter bin | litter in bin sign,litter in bin sign
🚰,drinking | potable | water,potable water
♿,access | wheelchair symbol,wheelchair symbol
🚹,lavatory | man | men’s room | restroom | wc,men’s room
🚺,lavatory | restroom | wc | woman | women’s room,women’s room
🚻,lavatory | restroom | WC,restroom
🚼,baby | baby symbol | changing,baby symbol
🚾,closet | lavatory | restroom | water | wc,water closet
🛂,control | passport,passport control
🛃,customs,customs
🛄,baggage | claim,baggage claim
🛅,baggage | left luggage | locker | luggage,left luggage
⚠,warning,warning
🚸,child | children crossing | crossing | pedestrian | traffic,children crossing
⛔,entry | forbidden | no | not | prohibited | traffic,no entry
🚫,entry | forbidden | no | not | prohibited,prohibited
🚳,bicycle | bike | forbidden | no | no bicycles | not | prohibited,no bicycles
🚭,forbidden | no | not | prohibited | smoking,no smoking
🚯,forbidden | litter | no | no littering | not | prohibited,no littering
🚱,non-drinking | non-potable | water,non-potable water
🚷,forbidden | no | no pedestrians | not | pedestrian | prohibited,no pedestrians
📵,cell | forbidden | mobile | no | no mobile phones | not | phone | prohibited | telephone,no mobile phones
🔞,18 | age restriction | eighteen | forbidden | no | no one under eighteen | not | prohibited | underage,no one under eighteen
☢,radioactive | sign,radioactive
☣,biohazard | sign,biohazard
⬆,arrow | cardinal | direction | north | up arrow,up arrow
↗,arrow | direction | intercardinal | northeast | up-right arrow,up-right arrow
➡,arrow | cardinal | direction | east | right arrow,right arrow
↘,arrow | direction | down-right arrow | intercardinal | southeast,down-right arrow
⬇,arrow | cardinal | direction | down | south,down arrow
↙,arrow | direction | down-left arrow | intercardinal | southwest,down-left arrow
⬅,arrow | cardinal | direction | left arrow | west,left arrow
↖,arrow | direction | intercardinal | northwest | up-left arrow,up-left arrow
↕,arrow | up-down arrow,up-down arrow
↔,arrow | left-right arrow,left-right arrow
↩,arrow | right arrow curving left,right arrow curving left
↪,arrow | left arrow curving right,left arrow curving right
⤴,arrow | right arrow curving up,right arrow curving up
⤵,arrow | down | right arrow curving down,right arrow curving down
🔃,arrow | clockwise | clockwise vertical arrows | reload,clockwise vertical arrows
🔄,anticlockwise | arrow | counterclockwise | counterclockwise arrows button | withershins,counterclockwise arrows button
🔙,arrow | back | BACK arrow,BACK arrow
🔚,arrow | end | END arrow,END arrow
🔛,arrow | mark | on | ON! arrow,ON! arrow
🔜,arrow | soon | SOON arrow,SOON arrow
🔝,arrow | top | TOP arrow | up,TOP arrow
🛐,place of worship | religion | worship,place of worship
⚛,atheist | atom | atom symbol,atom symbol
🕉,Hindu | om | religion,om
✡,David | Jew | Jewish | religion | star | star of David,star of David
☸,Buddhist | dharma | religion | wheel | wheel of dharma,wheel of dharma
☯,religion | tao | taoist | yang | yin,yin yang
✝,Christian | cross | latin cross | religion,latin cross
☦,Christian | cross | orthodox cross | religion,orthodox cross
☪,islam | Muslim | religion | star and crescent,star and crescent
☮,peace | peace symbol,peace symbol
🕎,candelabrum | candlestick | menorah | religion,menorah
🔯,dotted six-pointed star | fortune | star,dotted six-pointed star
♈,Aries | ram | zodiac,Aries
♉,bull | ox | Taurus | zodiac,Taurus
♊,Gemini | twins | zodiac,Gemini
♋,Cancer | crab | zodiac,Cancer
♌,Leo | lion | zodiac,Leo
♍,Virgo | zodiac,Virgo
♎,balance | justice | Libra | scales | zodiac,Libra
♏,Scorpio | scorpion | scorpius | zodiac,Scorpio
♐,archer | Sagittarius | zodiac,Sagittarius
♑,Capricorn | goat | zodiac,Capricorn
♒,Aquarius | bearer | water | zodiac,Aquarius
♓,fish | Pisces | zodiac,Pisces
⛎,bearer | Ophiuchus | serpent | snake | zodiac,Ophiuchus
🔀,arrow | crossed | shuffle tracks button,shuffle tracks button
🔁,arrow | clockwise | repeat | repeat button,repeat button
🔂,arrow | clockwise | once | repeat single button,repeat single button
▶,arrow | play | play button | right | triangle,play button
⏩,arrow | double | fast | fast-forward button | forward,fast-forward button
⏭,arrow | next scene | next track | next track button | triangle,next track button
⏯,arrow | pause | play | play or pause button | right | triangle,play or pause button
◀,arrow | left | reverse | reverse button | triangle,reverse button
⏪,arrow | double | fast reverse button | rewind,fast reverse button
⏮,arrow | last track button | previous scene | previous track | triangle,last track button
🔼,arrow | button | red | upwards button,upwards button
⏫,arrow | double | fast up button,fast up button
🔽,arrow | button | down | downwards button | red,downwards button
⏬,arrow | double | down | fast down button,fast down button
⏸,bar | double | pause | pause button | vertical,pause button
⏹,square | stop | stop button,stop button
⏺,circle | record | record button,record button
⏏,eject | eject button,eject button
🎦,camera | cinema | film | movie,cinema
🔅,brightness | dim | dim button | low,dim button
🔆,bright | bright button | brightness,bright button
📶,antenna | antenna bars | bar | cell | mobile | phone | signal | telephone,antenna bars
📳,cell | mobile | mode | phone | telephone | vibration,vibration mode
📴,cell | mobile | off | phone | telephone,mobile phone off
♀,female sign | woman,female sign
♂,male sign | man,male sign
⚕,aesculapius | medical symbol | medicine | staff,medical symbol
♻,recycle | recycling symbol,recycling symbol
⚜,fleur-de-lis,fleur-de-lis
🔱,anchor | emblem | ship | tool | trident,trident emblem
📛,badge | name,name badge
🔰,beginner | chevron | green | Japanese | Japanese symbol for beginner | leaf | tool | yellow,Japanese symbol for beginner
⭕,circle | heavy large circle | o,heavy large circle
✅,check | mark | white heavy check mark,white heavy check mark
☑,ballot | ballot box with check | box | check,ballot box with check
✔,check | heavy check mark | mark,heavy check mark
✖,cancel | heavy multiplication x | multiplication | multiply | x,heavy multiplication x
❌,cancel | cross mark | mark | multiplication | multiply | x,cross mark
❎,cross mark button | mark | square,cross mark button
➕,heavy plus sign | math | plus,heavy plus sign
➖,heavy minus sign | math | minus,heavy minus sign
➗,division | heavy division sign | math,heavy division sign
➰,curl | curly loop | loop,curly loop
➿,curl | double | double curly loop | loop,double curly loop
〽,mark | part | part alternation mark,part alternation mark
✳,asterisk | eight-spoked asterisk,eight-spoked asterisk
✴,eight-pointed star | star,eight-pointed star
❇,sparkle,sparkle
‼,bangbang | double exclamation mark | exclamation | mark | punctuation,double exclamation mark
⁉,exclamation | interrobang | mark | punctuation | question,exclamation question mark
❓,mark | punctuation | question,question mark
❔,mark | outlined | punctuation | question | white question mark,white question mark
❕,exclamation | mark | outlined | punctuation | white exclamation mark,white exclamation mark
❗,exclamation | mark | punctuation,exclamation mark
〰,dash | punctuation | wavy,wavy dash
©,copyright,copyright
®,registered,registered
™,mark | tm | trade mark | trademark,trade mark
